#   Table of:   ProjectId, Title, PI
#
#   any projectId with the string "Commissioning" is recognized as such and not used here
#   WARNING, make sure the number of quotes in the project title is even.   UTF-8 seem to be ok in here

# 2024

2024-S1-MX-14 , Imaging M84 and Sombrero at < 50 gravitational radii: jets and accretion inflow , David H. Hughes
2024-S1-MX-19 , TolTEC imaging of the progenitors of the Coma cluster at z~5 towards the FRESCO/GOODS-N field , David H. Hughes
2024-S1-MX-2  , Molecular Clouds in the Fermi Bubble , Laurent Loinard   
2024-S1-MX-11 , Unveiling a hidden gem: an extraordinarily bright strongly lensed galaxy behind Milky Way dust clouds , Eric Faustino Jiménez-Andrade
2024-S1-MX-29 , MACS J0018.5 - A Bullet Cluster Aimed in Our Direction , Alfredo Montaña
2024-S1-MX-13 , A sample of SMBH shadows , David H. Hughes
2024-S1-MX-37 , Large scale mapping of iCOMs in the prototypical shock laboratory L1157 , Arturo I. Gomez-Ruiz
2024-S1-MX-24 , Feeding a YSO from the surrounding Molecular Cloud , Roberto Galvan-Madrid
2024-S1-MX-22 , Identifying Dusty Star-Forming Galaxies in the Early Universe , Alfredo Montaña
2024-S1-MX-31 , Two belts or one? Toward a complete map of tau Ceti's planetary system , Miguel Chavez Dagostino
2024-S1-MX-33 , A millimeter key to the multi-wavelength characterization of Fast Evolving Luminous Transients , Alberto Carramiñana
2024-S1-MX-23 , TolTEC imaging of filamentary structures in SSA22 , David H. Hughes
2024-S1-MX-1  , A New "Frontier" for the LMT: Dust Obscured Activity in Galaxies that Dominate the Cosmic Star Formation History , Alfredo Montaña
2024-S1-MX-34 , Mapping the emission of molecular gas in metal-poor nearby galaxies , Olga Vega
2024-S1-MX-40 , Confirming and Characterizing Galaxy Proto-Clusters in the Early Universe , Alfredo Montaña
2024-S1-MX-3  , LMT redshift identification of a dusty starburst candidate at z > 6 , Alfredo Montaña
2024-S1-MX-5  , Mapping the physical conditions of star forming regions , Nadia Mariel Murillo Mejias
2024-S1-MX-16 , LMT spectroscopy of strong outflows in star-forming galaxies at Cosmic Noon , David H. Hughes 
2024-S1-MX-20 , Molecular Gas Reservoir in a Sample of Nearby Bulgeless Galaxies , Daniel Rosa Gonzalez
2024-S1-MX-35 , The mass-loss history of Phoenix giants: toward restrictive constraints on merger models , Miguel Chavez Dagostino
2024-S1-MX-25 , Pilot program to unveil overdensities around SPIRE Dropouts with TolTEC , Emmaly Aguilar Pérez
